yyyy/mmdd(or -ddd)/hh.h):2022/-329/18.5UT  geog Lat/Long/Alt= 78.2/  15.6/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 178471.6   NmF1=      0.0   NmE=   3029.3
Peak Heights/km:     hmF2=   279.14   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             115.8
Dip (Magnetic Inclination)/degree                      82.55
Modip (Modified Dip)/degree                            72.59
Solar Sunspot Number (12-months running mean) Rz12     73.3           
Ionospheric-Effective Solar Index IG12                 84.3           
Solar radio flux F10.7 (daily)                        105.7           
Solar radio flux F10.7 (81-day average)               130.3           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
1230.0    3681  0.021  1025  1784  2593 434  22 448  96   0   0  -1   4.9  78
1240.0    3608  0.020  1025  1788  2591 427  21 456  96   0   0  -1   4.9  78
1250.0    3538  0.020  1025  1792  2590 420  20 463  97   0   0  -1   4.9  78
1260.0    3470  0.019  1025  1795  2589 413  19 470  98   0   0  -1   4.9  78
1270.0    3404  0.019  1025  1799  2588 406  18 477  99   0   0  -1   4.9  78
1280.0    3340  0.019  1025  1802  2586 399  18 484  99   0   0  -1   4.9  78
1290.0    3278  0.018  1025  1806  2585 392  17 491 100   0   0  -1   4.9  78
1300.0    3218  0.018  1025  1809  2584 385  16 498 101   0   0  -1   4.9  78
1310.0    3159  0.018  1025  1813  2583 378  15 505 101   0   0  -1   4.9  78
1320.0    3103  0.017  1025  1817  2582 372  15 512 102   0   0  -1   4.9  78
1330.0    3048  0.017  1025  1820  2581 365  14 519 102   0   0  -1   4.9  78
1340.0    2994  0.017  1025  1824  2580 358  13 526 103   0   0  -1   4.9  78
1350.0    2942  0.016  1025  1827  2580 351  13 533 103   0   0  -1   4.9  78
1360.0    2892  0.016  1025  1831  2581 344  12 540 104   0   0  -1   4.9  78
1370.0    2843  0.016  1025  1834  2582 338  11 547 104   0   0  -1   4.9  78
1380.0    2795  0.016  1025  1838  2585 331  11 553 105   0   0  -1   4.9  78
1390.0    2749  0.015  1025  1842  2590 325  10 560 105   0   0  -1   4.9  78
1400.0    2704  0.015  1025  1845  2597 318  10 567 105   0   0  -1   4.9  78
1410.0    2660  0.015  1025  1849  2607 312   9 573 106   0   0  -1   4.9  78
1420.0    2617  0.015  1025  1852  2618 305   9 580 106   0   0  -1   4.9  78
1430.0    2576  0.014  1025  1856  2632 299   9 586 107   0   0  -1   4.9  78
1440.0    2535  0.014  1025  1859  2647 292   8 593 107   0   0  -1   4.9  78
1450.0    2496  0.014  1025  1863  2663 286   8 599 107   0   0  -1   4.9  78
1460.0    2458  0.014  1025  1867  2680 280   7 605 107   0   0  -1   4.9  78
1470.0    2420  0.014  1025  1870  2697 274   7 612 108   0   0  -1   4.9  78
1480.0    2384  0.013  1025  1874  2715 268   7 618 108   0   0  -1   4.9  78
1490.0    2348  0.013  1025  1877  2732 261   6 624 108   0   0  -1   4.9  78
1500.0    2314  0.013  1025  1881  2750 255   6 631 108   0   0  -1   4.9  78
1510.0    2280  0.013  1025  1884  2768 249   6 637 108   0   0  -1   4.9  78
1520.0    2247  0.013  1025  1888  2786 243   5 644 108   0   0  -1   4.9  78
1530.0    2215  0.012  1025  1892  2804 237   5 650 108   0   0  -1   4.9  78
1540.0    2183  0.012  1025  1895  2822 230   5 656 108   0   0  -1   4.9  78
1550.0    2153  0.012  1025  1899  2840 224   5 663 108   0   0  -1   4.9  78
1560.0    2123  0.012  1025  1902  2858 218   4 669 108   0   0  -1   4.9  78
1570.0    2094  0.012  1025  1906  2876 212   4 675 108   0   0  -1   4.9  78
1580.0    2065  0.012  1025  1910  2894 207   4 681 108   0   0  -1   4.9  78
1590.0    2037  0.011  1025  1913  2912 201   4 687 108   0   0  -1   4.9  78
1600.0    2010  0.011  1025  1917  2930 195   3 693 108   0   0  -1   4.9  78
1610.0    1984  0.011  1025  1920  2948 190   3 699 108   0   0  -1   4.9  78
1620.0    1958  0.011  1025  1924  2965 184   3 705 108   0   0  -1   4.9  78
1630.0    1932  0.011  1025  1927  2983 179   3 711 107   0   0  -1   4.9  78
1640.0    1907  0.011  1025  1931  3001 174   3 716 107   0   0  -1   4.9  78
1650.0    1883  0.011  1025  1935  3019 169   3 722 107   0   0  -1   4.9  78
1660.0    1859  0.010  1025  1938  3037 164   2 727 107   0   0  -1   4.9  78
1670.0    1836  0.010  1025  1942  3055 159   2 732 106   0   0  -1   4.9  78
1680.0    1813  0.010  1025  1945  3073 154   2 737 106   0   0  -1   4.9  78
1690.0    1791  0.010  1025  1949  3091 150   2 742 106   0   0  -1   4.9  78
1700.0    1769  0.010  1025  1952  3109 145   2 747 106   0   0  -1   4.9  78
1710.0    1748  0.010  1025  1956  3127 141   2 752 105   0   0  -1   4.9  78
1720.0    1727  0.010  1025  1960  3145 137   2 757 105   0   0  -1   4.9  78
1730.0    1706  0.010  1025  1963  3163 133   2 761 104   0   0  -1   4.9  78
1740.0    1686  0.009  1025  1967  3181 128   2 766 104   0   0  -1   4.9  78
1750.0    1667  0.009  1025  1970  3199 125   1 770 104   0   0  -1   4.9  78
1760.0    1648  0.009  1025  1974  3217 121   1 775 103   0   0  -1   4.9  78
1770.0    1629  0.009  1025  1977  3235 117   1 779 103   0   0  -1   4.9  78
1780.0    1610  0.009  1025  1981  3253 113   1 783 102   0   0  -1   4.9  78
1790.0    1592  0.009  1025  1985  3271 110   1 787 102   0   0  -1   4.9  78
1800.0    1574  0.009  1025  1988  3289 106   1 791 101   0   0  -1   4.9  78
1810.0    1557  0.009  1025  1992  3307 103   1 795 101   0   0  -1   4.9  78
1820.0    1540  0.009  1025  1995  3325 100   1 799 100   0   0  -1   4.9  78
1830.0    1523  0.009  1025  1999  3343  97   1 803 100   0   0  -1   4.9  78
1840.0    1507  0.008  1025  2003  3360  93   1 806  99   0   0  -1   4.9  78
1850.0    1490  0.008  1025  2006  3378  90   1 810  99   0   0  -1   4.9  78
1860.0    1475  0.008  1025  2010  3396  88   1 813  98   0   0  -1   4.9  78
1870.0    1459  0.008  1025  2013  3414  85   1 817  98   0   0  -1   4.9  78
1880.0    1444  0.008  1025  2017  3432  82   1 820  97   0   0  -1   4.9  78
1890.0    1429  0.008  1025  2020  3450  79   1 823  97   0   0  -1   4.9  78
1900.0    1414  0.008  1025  2024  3468  77   1 827  96   0   0  -1   4.9  78
1910.0    1400  0.008  1025  2028  3486  74   1 830  95   0   0  -1   4.9  78
1920.0    1386  0.008  1025  2031  3504  72   1 833  95   0   0  -1   4.9  78
1930.0    1372  0.008  1025  2035  3522  69   0 836  94   0   0  -1   4.9  78
1940.0    1358  0.008  1025  2038  3540  67   0 839  94   0   0  -1   4.9  78
1950.0    1345  0.008  1025  2042  3558  65   0 842  93   0   0  -1   4.9  78
1960.0    1331  0.007  1025  2045  3576  63   0 844  92   0   0  -1   4.9  78
1970.0    1318  0.007  1025  2049  3594  61   0 847  92   0   0  -1   4.9  78
1980.0    1306  0.007  1025  2053  3612  59   0 850  91   0   0  -1   4.9  78
1990.0    1293  0.007  1025  2056  3630  57   0 852  91   0   0  -1   4.9  78
2000.0    1281  0.007  1025  2060  3648  55   0 855  90   0   0  -1   4.9  78
