 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -1.079  -0.494   1.606   1.997     4811.82     2304.65    -4952.14     7279.33
  -1.086  -0.497   1.613   2.007     4745.90     2275.64    -4871.15     7171.49
  -1.092  -0.500   1.620   2.017     4681.19     2247.14    -4791.82     7065.74
  -1.099  -0.503   1.627   2.027     4617.65     2219.13    -4714.11     6962.04
  -1.106  -0.506   1.633   2.036     4555.26     2191.59    -4637.97     6860.34
  -1.112  -0.510   1.640   2.046     4493.99     2164.52    -4563.37     6760.58
  -1.119  -0.513   1.647   2.056     4433.81     2137.90    -4490.27     6662.72
  -1.126  -0.516   1.654   2.066     4374.71     2111.73    -4418.63     6566.72
  -1.132  -0.519   1.660   2.076     4316.66     2086.00    -4348.42     6472.54
  -1.139  -0.522   1.667   2.086     4259.64     2060.70    -4279.60     6380.12
  -1.146  -0.526   1.674   2.095     4203.62     2035.81    -4212.14     6289.44
  -1.152  -0.529   1.681   2.105     4148.58     2011.34    -4146.01     6200.45
  -1.159  -0.532   1.687   2.115     4094.50     1987.27    -4081.17     6113.11
  -1.166  -0.535   1.694   2.125     4041.36     1963.59    -4017.60     6027.39
  -1.172  -0.539   1.701   2.135     3989.14     1940.30    -3955.27     5943.25
  -1.179  -0.542   1.707   2.144     3937.82     1917.38    -3894.14     5860.64
  -1.186  -0.545   1.714   2.154     3887.38     1894.84    -3834.19     5779.55
  -1.193  -0.549   1.720   2.164     3837.80     1872.66    -3775.39     5699.92
  -1.199  -0.552   1.727   2.174     3789.06     1850.83    -3717.72     5621.74
  -1.206  -0.555   1.734   2.184     3741.15     1829.35    -3661.14     5544.97
  -1.213  -0.558   1.740   2.194     3694.04     1808.21    -3605.64     5469.57
  -1.220  -0.562   1.747   2.203     3647.73     1787.40    -3551.18     5395.52
  -1.226  -0.565   1.753   2.213     3602.19     1766.93    -3497.75     5322.79
  -1.233  -0.568   1.760   2.223     3557.41     1746.77    -3445.32     5251.34
  -1.240  -0.572   1.767   2.233     3513.36     1726.93    -3393.87     5181.15
  -1.247  -0.575   1.773   2.243     3470.05     1707.39    -3343.37     5112.20
  -1.254  -0.578   1.780   2.252     3427.45     1688.16    -3293.81     5044.45
  -1.260  -0.582   1.786   2.262     3385.55     1669.22    -3245.17     4977.89
  -1.267  -0.585   1.793   2.272     3344.32     1650.58    -3197.42     4912.47
  -1.274  -0.588   1.799   2.282     3303.77     1632.22    -3150.54     4848.19
  -1.281  -0.592   1.806   2.292     3263.88     1614.14    -3104.52     4785.01
  -1.288  -0.595   1.812   2.301     3224.62     1596.33    -3059.33     4722.92
  -1.294  -0.599   1.819   2.311     3186.00     1578.79    -3014.96     4661.88
  -1.301  -0.602   1.825   2.321     3147.99     1561.52    -2971.39     4601.88
  -1.308  -0.605   1.832   2.331     3110.59     1544.50    -2928.60     4542.90
  -1.315  -0.609   1.838   2.340     3073.78     1527.74    -2886.58     4484.91
  -1.322  -0.612   1.844   2.350     3037.55     1511.22    -2845.30     4427.89
  -1.329  -0.616   1.851   2.360     3001.89     1494.95    -2804.76     4371.83
  -1.336  -0.619   1.857   2.370     2966.79     1478.92    -2764.93     4316.70
  -1.342  -0.622   1.864   2.380     2932.23     1463.13    -2725.81     4262.48
  -1.349  -0.626   1.870   2.389     2898.21     1447.56    -2687.37     4209.16
  -1.356  -0.629   1.876   2.399     2864.72     1432.23    -2649.61     4156.72
  -1.363  -0.633   1.883   2.409     2831.75     1417.11    -2612.50     4105.14
  -1.370  -0.636   1.889   2.419     2799.28     1402.21    -2576.04     4054.40
  -1.377  -0.640   1.896   2.429     2767.31     1387.53    -2540.21     4004.48
  -1.384  -0.643   1.902   2.438     2735.82     1373.06    -2504.99     3955.38
  -1.391  -0.647   1.908   2.448     2704.82     1358.79    -2470.38     3907.06
  -1.398  -0.650   1.914   2.458     2674.28     1344.73    -2436.36     3859.52
  -1.405  -0.654   1.921   2.468     2644.20     1330.86    -2402.93     3812.75
  -1.412  -0.657   1.927   2.477     2614.57     1317.20    -2370.06     3766.72
  -1.418  -0.661   1.933   2.487     2585.39     1303.72    -2337.74     3721.42
  -1.425  -0.664   1.940   2.497     2556.64     1290.43    -2305.97     3676.84
  -1.432  -0.668   1.946   2.507     2528.31     1277.33    -2274.74     3632.96
  -1.439  -0.671   1.952   2.517     2500.41     1264.41    -2244.02     3589.77
  -1.446  -0.675   1.958   2.526     2472.92     1251.67    -2213.82     3547.25
  -1.453  -0.678   1.965   2.536     2445.82     1239.10    -2184.12     3505.40
  -1.460  -0.682   1.971   2.546     2419.13     1226.71    -2154.92     3464.20
  -1.467  -0.685   1.977   2.556     2392.82     1214.49    -2126.19     3423.63
  -1.474  -0.689   1.983   2.565     2366.90     1202.43    -2097.94     3383.70
  -1.481  -0.692   1.990   2.575     2341.35     1190.54    -2070.15     3344.37
  -1.488  -0.696   1.996   2.585     2316.17     1178.81    -2042.82     3305.65
  -1.495  -0.699   2.002   2.595     2291.34     1167.23    -2015.93     3267.51
  -1.502  -0.703   2.008   2.604     2266.88     1155.81    -1989.47     3229.96
  -1.509  -0.707   2.014   2.614     2242.76     1144.55    -1963.45     3192.98
  -1.516  -0.710   2.020   2.624     2218.98     1133.43    -1937.84     3156.55
  -1.523  -0.714   2.026   2.634     2195.54     1122.47    -1912.65     3120.67
  -1.530  -0.717   2.033   2.644     2172.44     1111.64    -1887.85     3085.32
  -1.537  -0.721   2.039   2.653     2149.65     1100.96    -1863.46     3050.51
  -1.544  -0.725   2.045   2.663     2127.18     1090.42    -1839.45     3016.21
  -1.552  -0.728   2.051   2.673     2105.03     1080.02    -1815.82     2982.42
  -1.559  -0.732   2.057   2.683     2083.19     1069.76    -1792.57     2949.13
  -1.566  -0.736   2.063   2.692     2061.64     1059.63    -1769.68     2916.32
  -1.573  -0.739   2.069   2.702     2040.40     1049.63    -1747.15     2884.00
  -1.580  -0.743   2.075   2.712     2019.44     1039.75    -1724.97     2852.15
  -1.587  -0.746   2.081   2.722     1998.78     1030.01    -1703.14     2820.76
  -1.594  -0.750   2.087   2.731     1978.39     1020.39    -1681.65     2789.83
  -1.601  -0.754   2.093   2.741     1958.28     1010.89    -1660.49     2759.35
  -1.608  -0.757   2.099   2.751     1938.45     1001.52    -1639.65     2729.30
  -1.615  -0.761   2.105   2.761     1918.88      992.26    -1619.14     2699.69
  -1.622  -0.765   2.111   2.770     1899.58      983.12    -1598.94     2670.50
  -1.630  -0.768   2.117   2.780     1880.53      974.10    -1579.05     2641.72
  -1.637  -0.772   2.123   2.790     1861.74      965.19    -1559.47     2613.35
  -1.644  -0.776   2.129   2.800     1843.20      956.39    -1540.18     2585.39
  -1.651  -0.780   2.135   2.809     1824.91      947.70    -1521.18     2557.82
  -1.658  -0.783   2.141   2.819     1806.86      939.12    -1502.47     2530.63
  -1.665  -0.787   2.147   2.829     1789.04      930.64    -1484.04     2503.83
  -1.672  -0.791   2.153   2.838     1771.46      922.27    -1465.89     2477.40
  -1.679  -0.794   2.159   2.848     1754.11      914.00    -1448.01     2451.34
  -1.687  -0.798   2.165   2.858     1736.99      905.84    -1430.40     2425.64
  -1.694  -0.802   2.171   2.868     1720.09      897.77    -1413.05     2400.29
  -1.701  -0.806   2.177   2.877     1703.41      889.80    -1395.95     2375.30
  -1.708  -0.809   2.182   2.887     1686.95      881.93    -1379.11     2350.64
  -1.715  -0.813   2.188   2.897     1670.69      874.15    -1362.51     2326.33
  -1.723  -0.817   2.194   2.907     1654.65      866.47    -1346.16     2302.34
  -1.730  -0.821   2.200   2.916     1638.81      858.88    -1330.05     2278.68
  -1.737  -0.824   2.206   2.926     1623.17      851.38    -1314.17     2255.35
  -1.744  -0.828   2.212   2.936     1607.73      843.97    -1298.53     2232.32
  -1.751  -0.832   2.217   2.946     1592.49      836.65    -1283.11     2209.61
  -1.758  -0.836   2.223   2.955     1577.44      829.41    -1267.91     2187.20
  -1.766  -0.840   2.229   2.965     1562.58      822.27    -1252.93     2165.09
  -1.773  -0.843   2.235   2.975     1547.91      815.20    -1238.17     2143.28
  -1.780  -0.847   2.241   2.984     1533.42      808.22    -1223.62     2121.75
  -1.787  -0.851   2.246   2.994     1519.11      801.32    -1209.28     2100.51
  -1.795  -0.855   2.252   3.004     1504.98      794.50    -1195.14     2079.55
  -1.802  -0.859   2.258   3.014     1491.02      787.76    -1181.20     2058.87
  -1.809  -0.862   2.264   3.023     1477.24      781.10    -1167.46     2038.46
  -1.816  -0.866   2.269   3.033     1463.62      774.51    -1153.92     2018.31
